=== ANÁLISIS LÉXICO ===
TOKEN			LEXEMA		LINEA		COLUMNA
----------------------------------------
LET                      	let            	1	1
LET                      	let            	9	5
INT                      	int            	9	9
IDENTIFIER               	contador       	9	13
ASSIGN                   	=              	9	22
INT_LITERAL              	5              	9	24
DELIMITER                	$              	9	25
LET                      	let            	10	5
INT                      	int            	10	9
IDENTIFIER               	resultado      	10	13
ASSIGN                   	=              	10	23
IDENTIFIER               	contador       	10	25
INCREMENT                	++             	10	34
DELIMITER                	$              	10	36
LET                      	let            	11	5
INT                      	int            	11	9
IDENTIFIER               	result2        	11	13
ASSIGN                   	=              	11	21
IDENTIFIER               	contador       	11	23
DECREMENT                	--             	11	32
DELIMITER                	$              	11	34
LET                      	let            	12	5
STRING                   	string         	12	9
IDENTIFIER               	a              	12	16
ASSIGN                   	=              	12	18
STRING_LITERAL           	"hola mundo cruel !·¿%+çç-´´+-.,·$·%$·&$%/&$%(%&()/%&(%(%&''123124214521"	12	20
DELIMITER                	$              	12	93
LET                      	let            	13	5
CHAR                     	char           	13	9
IDENTIFIER               	b              	13	14
ASSIGN                   	=              	13	16
CHAR_LITERAL             	''             	13	18
DELIMITER                	$              	13	20
LET                      	let            	14	5
BOOL                     	bool           	14	9
IDENTIFIER               	booleano       	14	14
ASSIGN                   	=              	14	23
BOOL_LITERAL             	True           	14	25
DELIMITER                	$              	14	29
OUTPUT                   	output         	15	5
IDENTIFIER               	hola           	15	12
DELIMITER                	$              	15	16
OUTPUT                   	output         	16	5
IDENTIFIER               	gInt           	16	12
DELIMITER                	$              	16	16
DECIDE                   	decide         	18	5
UNKNOWN                  	of             	18	12
LEFT_PAREN               	є              	18	15
IDENTIFIER               	booleano       	18	17
AND                      	@              	18	26
IDENTIFIER               	bbcita         	18	28
MINUS_OPERATOR           	-              	18	35
IDENTIFIER               	contador       	18	37
PLUS_OPERATOR            	+              	18	46
IDENTIFIER               	contador       	18	48
INCREMENT                	++             	18	56
GREATER                  	>              	18	59
INT_LITERAL              	5              	18	61
AND                      	@              	18	63
IDENTIFIER               	boyaka         	18	65
LESS                     	<              	18	72
FLOAT_LITERAL            	5.2            	18	74
PLUS_OPERATOR            	+              	18	78
IDENTIFIER               	miFunc         	18	80
LEFT_PAREN               	є              	18	87
RIGHT_PAREN              	э              	18	89
AND                      	@              	18	92
NOT                      	Σ              	18	94
IDENTIFIER               	booleano       	18	95
RIGHT_PAREN              	э              	18	104
MINUS_OPERATOR           	-              	18	107
GREATER                  	>              	18	108
LEFT_BLOCK               	¿              	18	110
LET                      	let            	19	9
FLOAT                    	float          	19	13
IDENTIFIER               	callese        	19	19
ASSIGN                   	=              	19	27
IDENTIFIER               	boyaka         	19	29
DELIMITER                	$              	19	35
RIGHT_BLOCK              	?              	20	5
LEFT_PAREN               	є              	20	7
INT_LITERAL              	5              	20	9
GREATER                  	>              	20	11
INT_LITERAL              	5              	20	13
PLUS_OPERATOR            	+              	20	15
INT_LITERAL              	2              	20	16
MULT_OPERATOR            	*              	20	18
INT_LITERAL              	1              	20	19
PLUS_OPERATOR            	+              	20	21
INT_LITERAL              	-5             	20	23
INT_DIV_OPERATOR         	//             	20	26
INT_LITERAL              	3              	20	28
RIGHT_PAREN              	э              	20	30
MINUS_OPERATOR           	-              	20	32
GREATER                  	>              	20	33
LEFT_BLOCK               	¿              	20	35
LET                      	let            	21	9
FLOAT                    	float          	21	13
IDENTIFIER               	callese        	21	19
ASSIGN                   	=              	21	27
IDENTIFIER               	boyaka         	21	29
DELIMITER                	$              	21	35
RIGHT_BLOCK              	?              	22	5
UNKNOWN                  	end            	24	5
DECIDE                   	decide         	24	13
DELIMITER                	$              	24	25
RETURN                   	return         	25	9
DELIMITER                	$              	25	15
LOOP                     	loop           	26	5
LET                      	let            	27	9
FLOAT                    	float          	27	13
IDENTIFIER               	callese        	27	19
ASSIGN                   	=              	27	27
IDENTIFIER               	boyaka         	27	29
DELIMITER                	$              	27	35
DECIDE                   	decide         	28	9
UNKNOWN                  	of             	28	16
LEFT_PAREN               	є              	28	19
IDENTIFIER               	booleano       	28	21
AND                      	@              	28	30
IDENTIFIER               	bbcita         	28	32
MINUS_OPERATOR           	-              	28	39
IDENTIFIER               	contador       	28	41
PLUS_OPERATOR            	+              	28	50
IDENTIFIER               	contador       	28	52
INCREMENT                	++             	28	60
GREATER                  	>              	28	63
INT_LITERAL              	5              	28	65
AND                      	@              	28	67
IDENTIFIER               	booleano       	28	69
RIGHT_PAREN              	э              	28	78
MINUS_OPERATOR           	-              	28	81
GREATER                  	>              	28	82
LEFT_BLOCK               	¿              	28	84
LET                      	let            	29	9
FLOAT                    	float          	29	13
IDENTIFIER               	callese        	29	19
ASSIGN                   	=              	29	27
IDENTIFIER               	boyaka         	29	29
DELIMITER                	$              	29	35
BREAK                    	break          	30	9
DELIMITER                	$              	30	14
RETURN                   	return         	31	9
DELIMITER                	$              	31	15
RIGHT_BLOCK              	?              	32	5
LEFT_PAREN               	є              	32	7
INT_LITERAL              	5              	32	9
GREATER                  	>              	32	11
INT_LITERAL              	5              	32	13
PLUS_OPERATOR            	+              	32	15
INT_LITERAL              	2              	32	16
MULT_OPERATOR            	*              	32	18
INT_LITERAL              	1              	32	19
PLUS_OPERATOR            	+              	32	21
INT_LITERAL              	-5             	32	23
INT_DIV_OPERATOR         	//             	32	26
INT_LITERAL              	3              	32	28
RIGHT_PAREN              	э              	32	30
MINUS_OPERATOR           	-              	32	32
GREATER                  	>              	32	33
LEFT_BLOCK               	¿              	32	35
LET                      	let            	33	9
FLOAT                    	float          	33	13
IDENTIFIER               	callese        	33	19
ASSIGN                   	=              	33	27
IDENTIFIER               	boyaka         	33	29
DELIMITER                	$              	33	35
BREAK                    	break          	34	9
DELIMITER                	$              	34	14
RIGHT_BLOCK              	?              	35	5
UNKNOWN                  	end            	36	5
DECIDE                   	decide         	36	13
DELIMITER                	$              	36	25
EXIT                     	exit           	37	5
WHEN                     	when           	37	10
IDENTIFIER               	booleano       	37	15
AND                      	@              	37	24
NOT                      	Σ              	37	26
IDENTIFIER               	bbcita         	37	27
MINUS_OPERATOR           	-              	37	34
IDENTIFIER               	contador       	37	36
PLUS_OPERATOR            	+              	37	45
IDENTIFIER               	contador       	37	47
INCREMENT                	++             	37	55
GREATER                  	>              	37	58
INT_LITERAL              	5              	37	60
AND                      	@              	37	62
IDENTIFIER               	boyaka         	37	64
LESS                     	<              	37	71
FLOAT_LITERAL            	5.2            	37	73
PLUS_OPERATOR            	+              	37	77
IDENTIFIER               	miFunc         	37	79
LEFT_PAREN               	є              	37	86
RIGHT_PAREN              	э              	37	88
AND                      	@              	37	91
NOT                      	Σ              	37	93
IDENTIFIER               	booleano       	37	94
DELIMITER                	$              	37	102
UNKNOWN                  	end            	38	5
LOOP                     	loop           	38	9
DELIMITER                	$              	38	13
LET                      	let            	40	5
FLOAT                    	float          	40	9
IDENTIFIER               	i              	40	15
DELIMITER                	$              	40	16
FOR                      	for            	41	5
IDENTIFIER               	i              	41	9
ASSIGN                   	=              	41	11
FLOAT_LITERAL            	1.2            	41	13
DELIMITER                	$              	41	16
STEP                     	step           	41	18
FLOAT_LITERAL            	1.2            	41	23
DOWNTO                   	downto         	41	27
FLOAT_LITERAL            	1.5            	41	34
DO                       	do             	41	38
LEFT_BLOCK               	¿              	41	41
LET                      	let            	42	9
FLOAT                    	float          	42	13
IDENTIFIER               	callese        	42	19
ASSIGN                   	=              	42	27
IDENTIFIER               	boyaka         	42	29
DELIMITER                	$              	42	35
BREAK                    	break          	43	9
DELIMITER                	$              	43	14
RIGHT_BLOCK              	?              	44	5
RETURN                   	return         	45	5
DELIMITER                	$              	45	11
RIGHT_BLOCK              	?              	47	1
----------------------------------------------------------
=== FIN DEL ANÁLISIS ===
✓ Sin errores léxicos
